Year,City ,State,NoOfLocationsUsed,Readings,IdealReadings,Pollutant,Values
2016,Barrackpore,West Bengal,3,305,312,PM 10,106
2018,Barrackpore,West Bengal,3,312,312,PM 10,108
2019,Barrackpore,West Bengal,,,,PM 10,
2017,Barrackpore,West Bengal,4,312,416,PM 10,90
2016,Haldia,West Bengal,4,416,416,PM 10,103
2018,Haldia,West Bengal,4,416,416,PM 10,99
2019,Haldia,West Bengal,,,,PM 10,
2017,Haldia,West Bengal,4,416,416,PM 10,97
2016,Howrah,West Bengal,3,312,312,PM 10,119
2018,Howrah,West Bengal,4,584,416,PM 10,179
2019,Howrah,West Bengal,,,,PM 10,
2017,Howrah,West Bengal,4,416,416,PM 10,110
2016,Kolkata,West Bengal,9,886,936,PM 10,113
2018,Kolkata,West Bengal,21,2833,2184,PM 10,144
2019,Kolkata,West Bengal,12,85,1248,PM 10,66
2017,Kolkata,West Bengal,19,1972,1976,PM 10,120
2016,Raniganj,West Bengal,3,312,312,PM 10,214
2018,Raniganj,West Bengal,3,312,312,PM 10,147
2019,Raniganj,West Bengal,1,9,104,PM 10,220
2017,Raniganj,West Bengal,4,414,416,PM 10,165
2016,Durgapur,West Bengal,4,414,416,PM 10,196
2018,Durgapur,West Bengal,4,416,416,PM 10,141
2019,Durgapur,West Bengal,,,,PM 10,
2017,Durgapur,West Bengal,4,415,416,PM 10,155
2016,Asansol,West Bengal,3,295,312,PM 10,211
2018,Asansol,West Bengal,3,321,312,PM 10,128
2019,Asansol,West Bengal,2,15,208,PM 10,234
2017,Asansol,West Bengal,3,312,312,PM 10,163
2016,Kashipur,Uttarakhand,1,98,104,PM 10,126
2018,Kashipur,Uttarakhand,1,96,104,PM 10,105
2019,Kashipur,Uttarakhand,,15,,PM 10,120
2017,Kashipur,Uttarakhand,1,96,104,PM 10,111
2016,Rishikesh,Uttarakhand,1,85,104,PM 10,119
2018,Rishikesh,Uttarakhand,1,83,104,PM 10,133
2019,Rishikesh,Uttarakhand,,17,,PM 10,141
2017,Rishikesh,Uttarakhand,1,85,104,PM 10,128
2016,Dehradun,Uttarakhand,3,71.33,312,PM 10,241
2018,Dehradun,Uttarakhand,3,180,312,PM 10,217
2019,Dehradun,Uttarakhand,,40,,PM 10,166
2017,Dehradun,Uttarakhand,3,135,312,PM 10,248
2016,Jhansi,Uttar Pradesh,2,222,208,PM 10,116
2018,Jhansi,Uttar Pradesh,2,238,208,PM 10,96
2019,Jhansi,Uttar Pradesh,,,,PM 10,
2017,Jhansi,Uttar Pradesh,2,206,208,PM 10,113
2016,Allahabad,Uttar Pradesh,5,532,520,PM 10,195
2018,Allahabad,Uttar Pradesh,5,535,520,PM 10,231
2019,Allahabad,Uttar Pradesh,5,261,520,PM 10,219
2017,Allahabad,Uttar Pradesh,5,546,520,PM 10,140
2016,Rai Bareilly,Uttar Pradesh,3,255,312,PM 10,141
2018,Rai Bareilly,Uttar Pradesh,2,209,208,PM 10,233
2019,Rai Bareilly,Uttar Pradesh,3,41,312,PM 10,115
2017,Rai Bareilly,Uttar Pradesh,3,224,312,PM 10,141
2016,Anpara/ Sonbhadra,Uttar Pradesh,2,163,208,PM 10,132
2018,Anpara/ Sonbhadra,Uttar Pradesh,2,196,208,PM 10,191
2019,Anpara/ Sonbhadra,Uttar Pradesh,2,49,208,PM 10,151
2017,Anpara/ Sonbhadra,Uttar Pradesh,2,162,208,PM 10,154
2016,Agra,Uttar Pradesh,6,805,624,PM 10,198
2018,Agra,Uttar Pradesh,6,812,624,PM 10,209
2019,Agra,Uttar Pradesh,,15,,PM 10,85
2017,Agra,Uttar Pradesh,6,657,624,PM 10,185
2016,Bareilly,Uttar Pradesh,2,104,208,PM 10,253
2018,Bareilly,Uttar Pradesh,2,209,208,PM 10,233
2019,Bareilly,Uttar Pradesh,,,,PM 10,
2017,Bareilly,Uttar Pradesh,2,104,208,PM 10,195
2016,Gajraula,Uttar Pradesh,2,200,208,PM 10,193
2018,Gajraula,Uttar Pradesh,2,199,208,PM 10,225
2019,Gajraula,Uttar Pradesh,,3,,PM 10,211
2017,Gajraula,Uttar Pradesh,2,190,208,PM 10,207
2016,Khurja,Uttar Pradesh,2,178,208,PM 10,216
2018,Khurja,Uttar Pradesh,2,171,208,PM 10,214
2019,Khurja,Uttar Pradesh,,,,PM 10,
2017,Khurja,Uttar Pradesh,2,184,208,PM 10,209
2016,Noida,Uttar Pradesh,2,175,208,PM 10,176
2018,Noida,Uttar Pradesh,2,180,208,PM 10,264
2019,Noida,Uttar Pradesh,,5,,PM 10,201
2017,Noida,Uttar Pradesh,2,172,208,PM 10,216
2016,Moradabad,Uttar Pradesh,2,203,208,PM 10,196
2018,Moradabad,Uttar Pradesh,2,195,208,PM 10,227
2019,Moradabad,Uttar Pradesh,2,16,208,PM 10,232
2017,Moradabad,Uttar Pradesh,2,172,208,PM 10,217
2016,Firozabad,Uttar Pradesh,2,212,208,PM 10,223
2018,Firozabad,Uttar Pradesh,3,309,312,PM 10,226
2019,Firozabad,Uttar Pradesh,,,,PM 10,
2017,Firozabad,Uttar Pradesh,3,184,312,PM 10,220
2016,Kanpur,Uttar Pradesh,8,507,832,PM 10,217
2018,Kanpur,Uttar Pradesh,9,804,936,PM 10,210
2019,Kanpur,Uttar Pradesh,,3,,PM 10,248
2017,Kanpur,Uttar Pradesh,8,654,832,PM 10,225
2017,Varanasi,Uttar Pradesh,5,362,520,PM 10,244
2016,Varanasi,Uttar Pradesh,,,104,PM 10,
2018,Varanasi,Uttar Pradesh,5,283,520,PM 10,190
2019,Varanasi,Uttar Pradesh,2,67,208,PM 10,140
2016,Lucknow,Uttar Pradesh,7,692,728,PM 10,214
2018,Lucknow,Uttar Pradesh,8,775,832,PM 10,217
2019,Lucknow,Uttar Pradesh,1,138,104,PM 10,189
2017,Lucknow,Uttar Pradesh,8,509,832,PM 10,246
2016,Ghaziabad,Uttar Pradesh,2,219,208,PM 10,236
2018,Ghaziabad,Uttar Pradesh,2,181,208,PM 10,245
2019,Ghaziabad,Uttar Pradesh,,3,,PM 10,301
2017,Ghaziabad,Uttar Pradesh,2,122,208,PM 10,281
2016,Nalgonda,Telangana,2,205,208,PM 10,62
2018,Nalgonda,Telangana,2,144,208,PM 10,60
2019,Nalgonda,Telangana,,18,,PM 10,59
2017,Nalgonda,Telangana,2,171,208,PM 10,60
2016,Patancheru,Telangana,1,106,104,PM 10,78
2018,Patancheru,Telangana,1,85,104,PM 10,81
2019,Patancheru,Telangana,,7,,PM 10,53
2017,Patancheru,Telangana,1,104,104,PM 10,78
2017,Sangareddy,Telangana,3,293,312,PM 10,79
2016,Sangareddy,Telangana,2,211,208,PM 10,70
2018,Sangareddy,Telangana,3,258,312,PM 10,81
2019,Sangareddy,Telangana,1,41,104,PM 10,65
2016,Hyderabad,Telangana,10,913,1040,PM 10,100
2018,Hyderabad,Telangana,10,1020,1040,PM 10,105
2019,Hyderabad,Telangana,7,201,728,PM 10,106
2017,Hyderabad,Telangana,10,988,1040,PM 10,108
2017,Trichy,Tamil Nadu,5,479,520,PM 10,86
2016,Trichy,Tamil Nadu,5,351,520,PM 10,95
2018,Trichy,Tamil Nadu,5,476,520,PM 10,110
2019,Trichy,Tamil Nadu,5,107,520,PM 10,63
2017,Thoothukudi/ Tuticorin,Tamil Nadu,3,294,312,PM 10,132
2016,Thoothukudi/ Tuticorin,Tamil Nadu,3,251,312,PM 10,175
2018,Thoothukudi/ Tuticorin,Tamil Nadu,3,292,312,PM 10,102
